id, date-completed, companions, short-subtitle
mount-keen, 2017-09-09, Carley, long way up
ben-vorlich-loch-earn,2018,05,28, Richard-AndrewM, super hot
meall-buidhe-glen-lyon, 2018-06,30, Bug-Darryl, super chill
schiehallion, 2018-07-21, Naomi, Bouldery top
glas-maol, 2018-07-26, Rosie-Carley-Eilidh, first flat tops experience
cairn-of-claise, 2018-07-26, Rosie-Carley-Eilidh, vast expanse
carn-an-tuirc, 2018-07-26, Rosie-Carley-Eilidh, hairy downhill boulders
ben-hope, 2018-08-26, John W, misty tops
meall-corranaich, 2019-04-13, Darryl-Bug-Daniel, near death experience with Daniel
ben-lomond, 2019-04-20, Sau Lin-James, false tops with Sau Lin
meall-nan-tarmachan, 2020-07-31, Adrian, late start with thunder
beinn-ghlas, 2020-08-08, Rosie and pals, covid group
ben-lawers, , 2020-08-08, Rosie and pals, solo chill return
beinn-narnain, 2020-08-15, Solo, First solo with inversions
ben-chonzie, 2020-08-22, Darryl Tom, super heather
beinn-tulaichean, 2020-08-30, Darryl, Chill with M in hospital
cruach-ardrain, 2020-08-30, Darryl, Left dad for the enticing ridge
beinn-dorain, 2020-09-19, Tom, super views but trying descent
beinn-ime, 2020-09-26, Solo, so many hill tops around
stob-coire-raineach-buachaille-etive-beag, 2021-04-23, solo, rubble-rubble everywhere
stob-dubh-buachaille-etive-beag, 2021-04-23, solo, amazing summit but dicey path
meall-greigh, 2021-06-05, AndrewM, nice soft ground
meall-garbh-ben-lawers, 2021-06-05, AndrewM, line is thankfully drawn
meall-ghaordaidh, 2021-06-07, Darryl, soft ground so chill
ben-wyvis, 2021-06-22, solo, long slog up and steep down but lovely solo
carn-gorm, 2021-07-17, Rosie et al, dragged against wind to summit
meall-a-choire-leith, 2021-07-18, Darryl, 90 min summit chill with Buggy hotdog
creag-leacach, 2021-09-12, John W, last min nip up en route north
carn-a-gheoidh, 2021-09-13, John W, completion after years with Carley et al
the-cairnwell, 2021-09-13, John W, easiest one from chairlift!
mayar, 2021-09-15, John W, so pretty and curvy
driesh, 2021-09-15, John W, so pretty with endless views
geal-charn-drumochter, 2022-04-22, JohnW, quick nip up en route from Poolewe
ben-challum, 2022-06-03, Stuart, dodge stiles and amazing view/ridge
beinn-an-dothaidh, 2022-06-24, solo, relentless rubble and lovely rannoch moor
meall-glas, 2022-07-07, Darryl, bog cloud misty
meall-chuaich, 2022-07-30, solo, rescue operation
carn-liath-beinn-a-ghlo, 2022-08-06, Stuart, wind induced retreat from lovely ridge
carn-na-caim, 2022-09-08, JohnW, it's not raining where we are!
sgor-gaoith, 2022-09-09, JohnW, spectacular lookover and to Braeriach
ben-macdui, 2022-09-10, JohnW, long walk into wildnerness
cairn-gorm, 2022-09-10, JohnW, just in time before sunset
beinn-a-chochuill, 2022-09-24, Stuart, knee-breaker but amazing ridges
an-caisteal,2024-06-24, Darryl, Windy and first post-operation
a-mharconaich, 2024-09-21, Tom, the first flat boring
beinn-udlamain, 2024-09-21, Tom, incidental doubler with great ridge
sgairneach-mhor, 2025-04-05, ?, So long forgot amazing hilltop experiences
carn-a-chlamain, 2025-04-12, Stuart Naomi, longest walk ever - 17 miles
stuchd-an-lochain, 2025-05-03, Darryl, amazing but maybe not again
beinn-chabhair, 2025-05-17, Tom Stuart, Spectacular and bog free
a-bhuidheanach-bheag, 2025-05-23, Morag, too boring for Morag
meall-garbh-carn-mairg, 2025-06-21, Darryl, anticlockwise good for hot day!
carn-mairg, 2025-06-21, Darryl, watching the clouds go by
creag-mhor-glen-lochay, 2025-06-21, Darryl, completed carngorm circuit
stob-a-choire-odhair, 2025-07-12, Morag Zara Naomi, sweltering to passing out
braigh-coire-chruinn-bhalgain, 2025-08-02, Stuart, priceless moments
carn-liath-creag-meagaidh, 2026-05-09, must come back to finish ridge minus snow
beinn-bhuidhe, 2026-05-16, Stuart, thankful for God's steering away from death 
an-socach-braemar,2026-05-23, solo, not as near death but...
